pl_name,hostname,sy_dist,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_lum,st_rad,st_mass,st_age,st_spectype,discoverymethod,disc_year,pl_controv_flag
Kepler-1167 b,Kepler-1167,820.90500000,1.71000000,,1.00393373900,0.0175000000,1419.00,4971.00,-0.53589,0.750000,0.790000,4.2700,,Transit,2016,0
Kepler-1740 b,Kepler-1740,1061.77000000,3.32321414,,8.17240047500,0.0779000000,858.00,5705.00,-0.07942,0.905000,0.943000,,,Transit,2021,0
Kepler-1581 b,Kepler-1581,493.17500000,0.80000000,,6.28385491000,0.0686500000,1108.00,6022.00,0.39085,1.230000,1.120000,4.1700,,Transit,2016,0
Kepler-644 b,Kepler-644,1318.05000000,3.15000000,,3.17391710300,0.0464100000,1655.00,6747.00,0.71041,1.810000,1.490000,1.6200,,Transit,2016,0
Kepler-1752 b,Kepler-1752,962.88800000,4.54060463,,56.35850143000,0.2698000000,419.00,5446.00,-0.39819,0.821000,0.824000,7.2000,,Transit,2021,0
Kepler-280 c,Kepler-280,780.36100000,2.01000000,,4.80709100000,0.0560000000,1088.00,5744.00,-0.06437,0.886000,0.962000,5.6200,,Transit,2014,0
Kepler-1208 b,Kepler-1208,825.17600000,2.32000000,,11.08507637000,0.0901000000,665.00,5001.00,-0.55349,0.760000,0.800000,4.4700,,Transit,2016,0
Kepler-263 c,Kepler-263,754.74700000,2.47000000,,47.33277300000,0.2420000000,386.00,5265.00,-0.45614,0.785000,0.793000,2.2400,,Transit,2014,0
Kepler-1101 b,Kepler-1101,742.47300000,2.47000000,,81.31510590000,0.3483000000,393.00,5614.00,-0.35135,0.910000,0.940000,4.2700,,Transit,2016,0
HD 168746 b,HD 168746,41.56810000,11.10000000,,6.40400000000,0.0700000000,900.00,5570.00,0.04139,1.090000,1.070000,8.0000,G5,Radial Velocity,2002,0
TOI-2406 b,TOI-2406,55.41900000,2.86000000,1.56000000000000e+01,3.07668910000,0.0226700000,449.00,3100.00,-2.46218,0.204000,0.166000,,M4 V,Transit,2021,0
HD 18599 b,HD 18599,38.56530000,2.60000000,2.41000000000000e+01,4.13743540000,0.0480000000,863.00,5145.00,-0.42946,0.767000,0.863000,0.4000,K2 V,Transit,2022,0
Kepler-560 b,Kepler-560,109.30800000,1.72000000,,18.47764449000,0.0899000000,298.00,3556.00,-1.71700,0.330000,0.340000,4.0700,,Transit,2016,0
Kepler-150 d,Kepler-150,891.09200000,2.79000000,,12.56093000000,0.1040000000,734.00,5560.00,-0.16141,0.939000,0.956000,1.7400,,Transit,2014,0
Kepler-498 b,Kepler-498,938.84400000,3.03000000,,9.61375356000,0.0897000000,931.00,5744.00,0.17242,0.960000,0.980000,3.8900,,Transit,2016,0
Kepler-817 b,Kepler-817,1484.46000000,9.03000000,,3.99010622900,0.0493000000,1124.00,5861.00,0.08609,1.030000,1.030000,3.5500,,Transit,2016,0
Kepler-937 b,Kepler-937,1571.46000000,3.72000000,,67.66882700000,0.3214000000,495.00,6095.00,0.28097,1.220000,1.150000,3.2400,,Transit,2016,0
K2-10 b,K2-10,272.36000000,3.77300000,2.52000000000000e+01,19.30553000000,0.1370000000,649.00,5533.00,-0.10088,0.956000,0.880000,,F9,Transit,2015,0
Kepler-571 b,Kepler-571,723.87500000,2.64000000,,4.79859938800,0.0546000000,978.00,5527.00,-0.22253,0.900000,0.930000,4.6800,,Transit,2016,0
Kepler-1458 b,Kepler-1458,544.45000000,2.76000000,,47.98727640000,0.2486900000,493.00,5653.00,-0.24032,0.940000,0.960000,4.1700,,Transit,2016,0
Kepler-1600 c,Kepler-1600,1030.81000000,1.94206512,,7.29804992700,0.0696100000,786.00,5119.00,-0.33945,0.834000,0.818000,6.9200,,Transit,2021,0
Kepler-221 d,Kepler-221,385.23100000,2.73000000,3.61000000000000e+00,10.04156000000,0.0870000000,712.00,5243.00,-0.40429,0.821000,0.854000,1.7800,,Transit,2014,0
